director_name,actor_1_name,actor_2_name,language,country,genres,movie_title,combined
Shawn Levy,Roger Rees,Henry Czerny,English,USA,Adventure Comedy Crime Family Mystery,the pink panther,Shawn Levy Roger Rees Henry Czerny Adventure Comedy Crime Family Mystery the pink panther
Richard Donner,Julia Roberts,Alex McArthur,English,USA,Action Crime Mystery Romance Thriller,conspiracy theory,Richard Donner Julia Roberts Alex McArthur Action Crime Mystery Romance Thriller conspiracy theory
David Ayer,Brad Pitt,Logan Lerman,English,USA,Action Drama War,fury,David Ayer Brad Pitt Logan Lerman Action Drama War fury
Ivan Reitman,Harrison Ford,Anne Heche,English,USA,Action Adventure Comedy Romance,six days seven nights,Ivan Reitman Harrison Ford Anne Heche Action Adventure Comedy Romance six days seven nights
Eric Brevig,Justin Timberlake,Tom Cavanagh,English,USA,Adventure Animation Comedy Family,yogi bear,Eric Brevig Justin Timberlake Tom Cavanagh Adventure Animation Comedy Family yogi bear
Kelly Asbury,Matt Damon,Charles Napier,English,USA,Adventure Animation Family Western,spirit: stallion of the cimarron,Kelly Asbury Matt Damon Charles Napier Adventure Animation Family Western spirit: stallion of the cimarron
Frank Coraci,Rosario Dawson,Leslie Bibb,English,USA,Comedy Family Romance,zookeeper,Frank Coraci Rosario Dawson Leslie Bibb Comedy Family Romance zookeeper
Stephen Hopkins,Gary Oldman,William Hurt,English,USA,Action Adventure Family Sci-Fi Thriller,lost in space,Stephen Hopkins Gary Oldman William Hurt Action Adventure Family Sci-Fi Thriller lost in space
Jonathan Demme,Denzel Washington,Dorian Missick,English,USA,Drama Mystery Sci-Fi Thriller,the manchurian candidate,Jonathan Demme Denzel Washington Dorian Missick Drama Mystery Sci-Fi Thriller the manchurian candidate
Henry Jaglom,Vanessa Redgrave,Stephen Dillane,English,USA,Drama Romance,déjà vu,Henry Jaglom Vanessa Redgrave Stephen Dillane Drama Romance déjà vu
Genndy Tartakovsky,Steve Buscemi,Adam Sandler,English,USA,Animation Comedy Family Fantasy,hotel transylvania 2,Genndy Tartakovsky Steve Buscemi Adam Sandler Animation Comedy Family Fantasy hotel transylvania 2
unknown,Elizabeth Montgomery,Agnes Moorehead,English,USA,Comedy Family Fantasy,bewitched            ,unknown Elizabeth Montgomery Agnes Moorehead Comedy Family Fantasy bewitched            
James Algar,Quincy Jones,Penn Jillette,English,USA,Animation Family Fantasy Music,fantasia 2000,James Algar Quincy Jones Penn Jillette Animation Family Fantasy Music fantasia 2000
Simon Wells,Mark Addy,Alan Young,English,USA,Action Adventure Sci-Fi,the time machine,Simon Wells Mark Addy Alan Young Action Adventure Sci-Fi the time machine
Ron Underwood,Charlize Theron,Mika Boorem,English,USA,Action Adventure Family Fantasy Thriller,mighty joe young,Ron Underwood Charlize Theron Mika Boorem Action Adventure Family Fantasy Thriller mighty joe young
Dominic Sena,Hugh Jackman,Don Cheadle,English,USA,Action Crime Thriller,swordfish,Dominic Sena Hugh Jackman Don Cheadle Action Crime Thriller swordfish
Martin Campbell,Michael Emerson,Nick Chinlund,Spanish,USA,Action Adventure Western,the legend of zorro,Martin Campbell Michael Emerson Nick Chinlund Action Adventure Western the legend of zorro
