director_name,actor_1_name,actor_2_name,genres,movie_title,combined
" Dorota Kobiela, Hugh Welchman", Robert Gulaczyk,Hugh Welchman Cast: Robert Gulaczyk,Animated Biographical drama,loving vincent," Dorota Kobiela, Hugh Welchman  Robert Gulaczyk Hugh Welchman Cast: Robert Gulaczyk Animated Biographical drama loving vincent"
 Matt Mitchell, Laura Swift,Sally Phillips,Horror,the rizen, Matt Mitchell  Laura Swift Sally Phillips Horror the rizen
 Danny Huston, Danny Houston,Sarita Choudhury,Drama,the last photograph, Danny Huston  Danny Houston Sarita Choudhury Drama the last photograph
 Daniel Jerome Gill, Josh Whitehouse,Freya Mavor,Romantic comedy,modern life is rubbish, Daniel Jerome Gill  Josh Whitehouse Freya Mavor Romantic comedy modern life is rubbish
 Eric Styles, John Hurt,Charles Dance,Drama,that good night, Eric Styles  John Hurt Charles Dance Drama that good night
 Joel Hopkins, Diane Keaton,Brendan Gleeson,Drama,hampstead, Joel Hopkins  Diane Keaton Brendan Gleeson Drama hampstead
 Andrew Kötting, Andrew Kotting,David Aylward,Experimental documentary,edith walks, Andrew Kötting  Andrew Kotting David Aylward Experimental documentary edith walks
 Sarmad Masud, Suhaee Abro,Tanveer Hussain Syed,Drama,my pure land, Sarmad Masud  Suhaee Abro Tanveer Hussain Syed Drama my pure land
 Justin Edgar, Frederick Schmidt,Ana Ularu,Crime thriller,the marker, Justin Edgar  Frederick Schmidt Ana Ularu Crime thriller the marker
 Simon Hunter, Sheila Hancock,Kevin Guthrie,Drama,edie, Simon Hunter  Sheila Hancock Kevin Guthrie Drama edie
 Conor McDermottroe, Sarah Bolger,Colm Meaney,Comedy,halal daddy, Conor McDermottroe  Sarah Bolger Colm Meaney Comedy halal daddy
 Xavier Gens, Sophie Cookson,Brittany Ashworth,Horror,the crucifixion, Xavier Gens  Sophie Cookson Brittany Ashworth Horror the crucifixion
 Mark Gill, Jack Lowden,Jessica Brown Findlay,Biographical drama,england is mine, Mark Gill  Jack Lowden Jessica Brown Findlay Biographical drama england is mine
 Christopher Nolan, Fionn Whitehead,Harry Styles,War Action thriller,dunkirk, Christopher Nolan  Fionn Whitehead Harry Styles War Action thriller dunkirk
 Stephen Burke, Tom Vaughan-Lawlor,Barry Ward,Crime drama,maze, Stephen Burke  Tom Vaughan-Lawlor Barry Ward Crime drama maze
 Toa Fraser, Jamie Bell,Abbie Cornish,Biographical action,6 days, Toa Fraser  Jamie Bell Abbie Cornish Biographical action 6 days
 Morgan Matthews, Frank Williams,unknown,Documentary,williams, Morgan Matthews  Frank Williams unknown Documentary williams
 Holger Tappe, Emily Watson,Nick Frost,Horror comedy,monster family, Holger Tappe  Emily Watson Nick Frost Horror comedy monster family
 Justin Chadwick, Alicia Vikander,Dane DeHaan,Historical drama,tulip fever, Justin Chadwick  Alicia Vikander Dane DeHaan Historical drama tulip fever
 Deborah Haywood, Lily Newark,Joanna Scanlan,Drama,pin cushion, Deborah Haywood  Lily Newark Joanna Scanlan Drama pin cushion
 Joe Wright, Gary Oldman,Kristin Scott Thomas,Drama,darkest hour, Joe Wright  Gary Oldman Kristin Scott Thomas Drama darkest hour
 Paul McGuigan, Annette Bening,Jamie Bell,Biographical romantic drama,film stars don't die in liverpool, Paul McGuigan  Annette Bening Jamie Bell Biographical romantic drama film stars don't die in liverpool
 Andrew Haigh, Charlie Plummer,Chloë Sevigny,Drama,lean on pete, Andrew Haigh  Charlie Plummer Chloë Sevigny Drama lean on pete
