director_name,actor_1_name,actor_2_name,language,country,genres,movie_title,combined
 Jean-Stéphane Sauvaire, Joe Cole,Vithaya Pansringar,English,UK,Biographical action,a prayer before dawn, Jean-Stéphane Sauvaire  Joe Cole Vithaya Pansringar Biographical action a prayer before dawn
 John Cameron Mitchell, Elle Fanning,Alex Sharp,English,UK,Science-fiction Romantic comedy,how to talk to girls at parties, John Cameron Mitchell  Elle Fanning Alex Sharp Science-fiction Romantic comedy how to talk to girls at parties
 Rungano Nyoni, Maggie Mulubwa,Nellie Munamonga,English,UK,Drama,i am not a witch, Rungano Nyoni  Maggie Mulubwa Nellie Munamonga Drama i am not a witch
 Lynne Ramsay, Joaquin Phoenix,Ekaterina Samsonov,English,UK,Thriller,you were never really here, Lynne Ramsay  Joaquin Phoenix Ekaterina Samsonov Thriller you were never really here
 Roger Michell, Rachel Weisz,Sam Claflin,English,UK,Romantic drama,my cousin rachel, Roger Michell  Rachel Weisz Sam Claflin Romantic drama my cousin rachel
 Ron Scalpello, Josh Helman,Chanel Cresswell,English,UK,Sports drama,my name is lenny, Ron Scalpello  Josh Helman Chanel Cresswell Sports drama my name is lenny
unknown, Kate McLarnon,Sky Neal,English,UK,Documentary,even when i fall,unknown  Kate McLarnon Sky Neal Documentary even when i fall
 Johannes Roberts, Claire Holt,Mandy Moore,English,UK,Survival horror,47 meters down, Johannes Roberts  Claire Holt Mandy Moore Survival horror 47 meters down
" Dorota Kobiela, Hugh Welchman", Robert Gulaczyk,Hugh Welchman Cast: Robert Gulaczyk,English,UK,Animated Biographical drama,loving vincent," Dorota Kobiela, Hugh Welchman  Robert Gulaczyk Hugh Welchman Cast: Robert Gulaczyk Animated Biographical drama loving vincent"
 Matt Mitchell, Laura Swift,Sally Phillips,English,UK,Horror,the rizen, Matt Mitchell  Laura Swift Sally Phillips Horror the rizen
 Danny Huston, Danny Houston,Sarita Choudhury,English,UK,Drama,the last photograph, Danny Huston  Danny Houston Sarita Choudhury Drama the last photograph
 Daniel Jerome Gill, Josh Whitehouse,Freya Mavor,English,UK,Romantic comedy,modern life is rubbish, Daniel Jerome Gill  Josh Whitehouse Freya Mavor Romantic comedy modern life is rubbish
 Eric Styles, John Hurt,Charles Dance,English,UK,Drama,that good night, Eric Styles  John Hurt Charles Dance Drama that good night
 Joel Hopkins, Diane Keaton,Brendan Gleeson,English,UK,Drama,hampstead, Joel Hopkins  Diane Keaton Brendan Gleeson Drama hampstead
 Andrew Kötting, Andrew Kotting,David Aylward,English,UK,Experimental documentary,edith walks, Andrew Kötting  Andrew Kotting David Aylward Experimental documentary edith walks
 Sarmad Masud, Suhaee Abro,Tanveer Hussain Syed,English,UK,Drama,my pure land, Sarmad Masud  Suhaee Abro Tanveer Hussain Syed Drama my pure land
 Justin Edgar, Frederick Schmidt,Ana Ularu,English,UK,Crime thriller,the marker, Justin Edgar  Frederick Schmidt Ana Ularu Crime thriller the marker
 Simon Hunter, Sheila Hancock,Kevin Guthrie,English,UK,Drama,edie, Simon Hunter  Sheila Hancock Kevin Guthrie Drama edie
 Conor McDermottroe, Sarah Bolger,Colm Meaney,English,UK,Comedy,halal daddy, Conor McDermottroe  Sarah Bolger Colm Meaney Comedy halal daddy
 Xavier Gens, Sophie Cookson,Brittany Ashworth,English,UK,Horror,the crucifixion, Xavier Gens  Sophie Cookson Brittany Ashworth Horror the crucifixion
 Mark Gill, Jack Lowden,Jessica Brown Findlay,English,UK,Biographical drama,england is mine, Mark Gill  Jack Lowden Jessica Brown Findlay Biographical drama england is mine
 Christopher Nolan, Fionn Whitehead,Harry Styles,English,UK,War Action thriller,dunkirk, Christopher Nolan  Fionn Whitehead Harry Styles War Action thriller dunkirk
 Stephen Burke, Tom Vaughan-Lawlor,Barry Ward,English,UK,Crime drama,maze, Stephen Burke  Tom Vaughan-Lawlor Barry Ward Crime drama maze
 Toa Fraser, Jamie Bell,Abbie Cornish,English,UK,Biographical action,6 days, Toa Fraser  Jamie Bell Abbie Cornish Biographical action 6 days
 Morgan Matthews, Frank Williams,unknown,English,UK,Documentary,williams, Morgan Matthews  Frank Williams unknown Documentary williams
 Holger Tappe, Emily Watson,Nick Frost,English,UK,Horror comedy,monster family, Holger Tappe  Emily Watson Nick Frost Horror comedy monster family
 Justin Chadwick, Alicia Vikander,Dane DeHaan,English,UK,Historical drama,tulip fever, Justin Chadwick  Alicia Vikander Dane DeHaan Historical drama tulip fever
 Deborah Haywood, Lily Newark,Joanna Scanlan,English,UK,Drama,pin cushion, Deborah Haywood  Lily Newark Joanna Scanlan Drama pin cushion
 Joe Wright, Gary Oldman,Kristin Scott Thomas,English,UK,Drama,darkest hour, Joe Wright  Gary Oldman Kristin Scott Thomas Drama darkest hour
 Paul McGuigan, Annette Bening,Jamie Bell,English,UK,Biographical romantic drama,film stars don't die in liverpool, Paul McGuigan  Annette Bening Jamie Bell Biographical romantic drama film stars don't die in liverpool
 Andrew Haigh, Charlie Plummer,Chloë Sevigny,English,UK,Drama,lean on pete, Andrew Haigh  Charlie Plummer Chloë Sevigny Drama lean on pete
 Simon West, Dominic Cooper,Gemma Chan,English,UK,Action thriller,stratton, Simon West  Dominic Cooper Gemma Chan Action thriller stratton
" Jonathan Dayton, Valerie Faris", Emma Stone,Valerie Faris Cast: Emma Stone,English,UK,Biographical Comedy-drama,battle of the sexes," Jonathan Dayton, Valerie Faris  Emma Stone Valerie Faris Cast: Emma Stone Biographical Comedy-drama battle of the sexes"
 Stephen Frears, Judi Dench,Ali Fazal,English,UK,Biographical comedy-drama,victoria & abdul, Stephen Frears  Judi Dench Ali Fazal Biographical comedy-drama victoria & abdul
 Martin McDonagh, Frances McDormand,Woody Harrelson,English,UK,Drama,"three billboards outside ebbing, missouri"," Martin McDonagh  Frances McDormand Woody Harrelson Drama three billboards outside ebbing, missouri"
 David Batty, Michael Caine,David Bailey,English,UK,Documentary,my generation, David Batty  Michael Caine David Bailey Documentary my generation
 Clio Barnard, Ruth Wilson,Mark Stanley,English,UK,Drama,dark river, Clio Barnard  Ruth Wilson Mark Stanley Drama dark river
 Bornila Chatterjee, Naseeruddin Shah,Tisca Chopra,English,UK,Drama,the hungry, Bornila Chatterjee  Naseeruddin Shah Tisca Chopra Drama the hungry
 Dominic Cooke, Saoirse Ronan,Billy Howle,English,UK,Drama,on chesil beach, Dominic Cooke  Saoirse Ronan Billy Howle Drama on chesil beach
